Lists,Año 2009,Año 2010,Año 2011
com.googlegroups.h2-database,3,0,0
com.selenic.mercurial-devel,1,0,0
com.ubuntu.lists.ubuntu-bugs,6,32,3
com.ubuntu.lists.ubuntu-burning,7,0,0
com.ubuntu.lists.ubuntu-es-l10n,43,3,0
com.ubuntu.lists.ubuntu-main-sponsors,11,0,0
com.ubuntu.lists.ubuntu-mono,1,0,0
com.ubuntu.lists.ubuntu-motu-mentors,2,0,0
com.ubuntu.lists.ubuntu-translators,4,0,0
com.ubuntu.lists.ubuntu-universe-sponsors,1,0,0
com.ubuntu.lists.universe-bugs,13,2,0
org.freedesktop.lists.devkit-devel,1,0,0
org.freedesktop.lists.xdg,1,2,0
org.gnome.desktop-devel-list,1,0,6
org.gnome.gnome-es-list,4,2,1
org.gnome.gnome-hispano-list,1,12,27
org.gnome.gnome-i18n,1,0,10
org.kde.kde-bugs-dist,2,1,6
com.googlegroups.android-developers,0,1,0
com.ubuntu.lists.ubuntu-accessibility-bugs,0,1,0
com.ubuntu.lists.ubuntu-ar,0,1,0
com.ubuntu.lists.ubuntu-es,0,11,2
com.ubuntu.lists.ubuntu-mozillateam-bugs,0,1,0
com.ubuntu.lists.ubuntu-telepathy,0,1,0
com.ubuntu.lists.ubuntu-users,0,1,0
com.xensource.lists.xen-users,0,2,0
org.centos.centos-es,0,3,0
org.centos.centos-virt,0,1,0
org.drupal.cvs-applications,0,2,0
org.drupal.development,0,1,4
org.gnome.evince-list,0,1,0
org.gnome.gdm-list,0,1,2
org.gnome.gnome-accessibility-list,0,16,17
org.gnome.gnome-announce-list,0,5,10
org.gnome.gnome-love,0,1,0
org.gnome.orca-list,0,78,17
org.kernel.vger.linux-hotplug,0,4,0
org.openoffice.bizdev.consultants,0,1,0
org.openstreetmap.talk-es,0,1,27
com.ubuntu.lists.desktop-bugs,0,0,2
com.ubuntu.lists.ubuntu-accessibility,0,0,2
org.gnome.build-brigade-list,0,0,1
org.gnome.gnome-accessibility-devel,0,0,2
org.gnome.gnome-doc-list,0,0,8
org.gnome.gtk-app-devel-list,0,0,4
org.gnome.marketing-list,0,0,5
org.kde.kdepim-bugs,0,0,3
org.openstreetmap.josm-dev,0,0,2
org.postgresql.pgsql-performance,0,0,1
